TS,CAND,EVENT_ID,CLIENT,JOB_ID,STAGE,TYPE,BY,NOW,HIRE_DATE
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581378789x264830613285961920,AVIV ,1786094117912x748763187480100900,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581739662x659784206094736800,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581739113x234546103852235400,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581738818x615925080889799800,AVIV ,1786094117912x748763187480100900,Hired,Hired,Rodrigo Gomes,Sequence,
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581737056x445959397296091140,AVIV ,1786094117912x748763187480100900,Interview 1,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581737858x776231605403509900,AVIV ,1786094117912x748763187480100900,Interview 2,Interview 2,Rodrigo Gomes,Sequence,
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581738265x789458058400341200,AVIV ,1786094117912x748763187480100900,Interview 3,Interview 3,Rodrigo Gomes,Sequence,
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581736698x344938897194373440,AVIV ,1786094117912x748763187480100900,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581738519x631177655484811000,AVIV ,1786094117912x748763187480100900,Offer,Offer,Rodrigo Gomes,Sequence,
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581736019x718455803530091440,AVIV ,1786094117912x748763187480100900,Positive response,Positive Response,Rodrigo Gomes,Sequence,
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581736387x453279807240174460,AVIV ,1786094117912x748763187480100900,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581737350x809784064990264800,AVIV ,1786094117912x748763187480100900,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581834845x745189202129263800,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581835138x287493163876582300,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581834379x520096186548695300,AVIV ,1786094117912x748763187480100900,Hired,Hired,Rodrigo Gomes,Sequence,
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581831183x806491646924651900,AVIV ,1786094117912x748763187480100900,Interview 1,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581832904x940314066909911000,AVIV ,1786094117912x748763187480100900,Interview 2,Interview 2,Rodrigo Gomes,Sequence,
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581833379x238089976214796320,AVIV ,1786094117912x748763187480100900,Interview 3,Interview 3,Rodrigo Gomes,Sequence,
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581830716x836282098281000800,AVIV ,1786094117912x748763187480100900,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581833895x358676516521400500,AVIV ,1786094117912x748763187480100900,Offer,Offer,Rodrigo Gomes,Sequence,
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581829286x847132325756223500,AVIV ,1786094117912x748763187480100900,Positive response,Positive Response,Rodrigo Gomes,Sequence,
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581830416x407424729714786800,AVIV ,1786094117912x748763187480100900,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581832320x461739183127195500,AVIV ,1786094117912x748763187480100900,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:35:18.389,1787582114008x265705916501217660,1787582121962x409353665874696600,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:35:18.389,1787582114008x265705916501217660,1787582121602x887013713370815000,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:35:18.389,1787582114008x265705916501217660,1787582121340x628884545284571500,AVIV ,1786094117912x748763187480100900,Hired,Hired,Rodrigo Gomes,Sequence,
2026-08-24 14:35:18.389,1787582114008x265705916501217660,1787582119795x395071030547843300,AVIV ,1786094117912x748763187480100900,Interview 1,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:35:18.389,1787582114008x265705916501217660,1787582120360x579026974746097400,AVIV ,1786094117912x748763187480100900,Interview 2,Interview 2,Rodrigo Gomes,Sequence,
2026-08-24 14:35:18.389,1787582114008x265705916501217660,1787582120595x429262199206047200,AVIV ,1786094117912x748763187480100900,Interview 3,Interview 3,Rodrigo Gomes,Sequence,
2026-08-24 14:35:18.389,1787582114008x265705916501217660,1787582119511x325267561954491300,AVIV ,1786094117912x748763187480100900,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,
2026-08-24 14:35:18.389,1787582114008x265705916501217660,1787582121010x562750839450714800,AVIV ,1786094117912x748763187480100900,Offer,Offer,Rodrigo Gomes,Sequence,
2026-08-24 14:35:18.389,1787582114008x265705916501217660,1787582118575x229281118452386180,AVIV ,1786094117912x748763187480100900,Positive response,Positive Response,Rodrigo Gomes,Sequence,
2026-08-24 14:35:18.389,1787582114008x265705916501217660,1787582119065x576367769138175200,AVIV ,1786094117912x748763187480100900,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,
2026-08-24 14:35:18.389,1787582114008x265705916501217660,1787582120079x146954904691303680,AVIV ,1786094117912x748763187480100900,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,
